,index,Address
66,Bio-Rad,"1000 ALFRED NOBEL DRIVE HERCULES, CALIFORNIA 94547"
67,Bio-Techne,"614 MCKINLEY PL N E MINNEAPOLIS, MINNESOTA 55413"
68,Biogen,"225 BINNEY STREET CAMBRIDGE, MASSACHUSETTS 02142"
69,BlackRock,"50 HUDSON YARDS NEW YORK, NEW YORK 10001"
70,BNY Mellon,"240 GREENWICH STREET NEW YORK, NEW YORK 10286"
71,Boeing,"929 LONG BRIDGE DRIVE ARLINGTON, VIRGINIA 22202"
72,Booking Holdings,"800 CONNECTICUT AVE NORWALK, CONNECTICUT 06854"
73,BorgWarner,"3850 HAMLIN RD. AUBURN HILLS, MICHIGAN 48326"
74,Boston Properties,"800 BOYLSTON STREET SUITE 1900 BOSTON, MASSACHUSETTS 02199"
75,Boston Scientific,"300 BOSTON SCIENTIFIC WAY MARLBOROUGH, MASSACHUSETTS 01752-1234"
76,Bristol Myers Squibb,"430 E. 29TH STREET 14 FLOOR NEW YORK, NEW YORK 10016"
77,Broadcom Inc.,"1320 RIDDER PARK DRIVE SAN JOSE, CALIFORNIA 95131"
78,Broadridge Financial Solutions,"5 DAKOTA DRIVE LAKE SUCCESS, NEW YORK 11042"
79,Brown & Brown,"300 N. BEACH STREET DAYTONA BEACH, FLORIDA 32114"
80,Brown–Forman,"850 DIXIE HWY LOUISVILLE, KENTUCKY 40210"
81,Bunge Limited,"1391 TIMBERLAKE MANOR PARKWAY CHESTERFIELD, MISSOURI 63017"
82,C.H. Robinson,"14701 CHARLSON ROAD EDEN PRAIRIE, MINNESOTA 55347"
83,Cadence Design Systems,"2655 SEELY AVENUE BLDG 5 SAN JOSE, CALIFORNIA 95134"
84,Caesars Entertainment,"100 WEST LIBERTY STREET, 12TH FLOOR RENO, NEVADA 89501"
85,Camden Property Trust,"11 GREENWAY PLAZA SUITE 2400 HOUSTON, TEXAS 77046"
86,Campbell Soup Company,"CAMPBELL PL CAMDEN, NEW JERSEY 08103"
87,Capital One,"1680 CAPITAL ONE DRIVE SUITE 1400 MCLEAN, VIRGINIA 22102"
88,Cardinal Health,"7000 CARDINAL PLACE DUBLIN, OHIO 43017"
89,CarMax,"12800 TUCKAHOE CREEK PARKWAY RICHMOND, VIRGINIA 23238"
90,Carnival,"3655 N W 87TH AVE PO BOX 1347 MIAMI, FLORIDA 33178-2428"
91,Carrier Global,"13995 PASTEUR BOULEVARD PALM BEACH GARDENS, FLORIDA 33418"
92,Catalent,"14 SCHOOLHOUSE ROAD SOMERSET, NEW JERSEY 08873"
93,Caterpillar Inc.,"5205 N. O'CONNOR BOULEVARD SUITE 100 IRVING, TEXAS 75039"
94,Cboe Global Markets,"433 WEST VAN BUREN STREET CHICAGO, ILLINOIS 60607"
95,CBRE Group,"2100 MCKINNEY AVENUE SUITE 1250 DALLAS, TEXAS 75201"
96,CDW,"200 N MILWAUKEE AVENUE VERNON HILLS, ILLINOIS 60061"
97,Celanese,"222 W. LAS COLINAS BLVD., SUITE 900N IRVING, TEXAS 75039-5421"
98,Centene Corporation,"7700 FORSYTH BLVD. ST LOUIS, MISSOURI 63105"
99,CenterPoint Energy,"1111 LOUISIANA ST. HOUSTON, TEXAS 77002"
100,Ceridian,"3311 EAST OLD SHAKOPEE ROAD MINNEAPOLIS, MINNESOTA 55425"
101,CF Industries,"4 PARKWAY NORTH DEERFIELD, ILLINOIS 60015"
102,Charles River Laboratories,"251 BALLARDVALE ST WILMINGTON, MASSACHUSETTS 01887"
103,Charles Schwab Corporation,"3000 SCHWAB WAY WESTLAKE, TEXAS 76262"
104,Charter Communications,"400 ATLANTIC STREET STAMFORD, CONNECTICUT 06901"
105,Chevron Corporation,"6001 BOLLINGER CANYON ROAD SAN RAMON, CALIFORNIA 94583"
106,Chipotle Mexican Grill,"610 NEWPORT CENTER DR SUITE 1100 NEWPORT BEACH, CALIFORNIA 92660"
107,Chubb Limited,"BARENGASSE 32 ZURICH, SWITZERLAND CH-8001"
108,Church & Dwight,"500 CHARLES EWING BOULEVARD EWING, NEW JERSEY 08628"
109,Cigna,"900 COTTAGE GROVE ROAD BLOOMFIELD, CONNECTICUT 06002"
110,Cincinnati Financial,"6200 S GILMORE RD FAIRFIELD, OHIO 45014"
111,Cintas,"6800 CINTAS BLVD P O BOX 625737 CINCINNATI, OHIO 45262"
112,Cisco,"170 WEST TASMAN DR SAN JOSE, CALIFORNIA 95134-1706"
113,Citigroup,"388 GREENWICH STREET NEW YORK, NEW YORK 10013"
114,Citizens Financial Group,"1 CITIZENS PLAZA PROVIDENCE, RHODE ISLAND 02903"
115,Clorox,"THE CLOROX COMPANY 1221 BROADWAY OAKLAND, CALIFORNIA 94612-1888"
116,CME Group,"20 S. WACKER DR. CHICAGO, ILLINOIS 60606"
117,CMS Energy,"ONE ENERGY PLAZA JACKSON, MICHIGAN 49201"
118,Coca-Cola Company (The),"ONE COCA COLA PLAZA ATLANTA, GEORGIA 30313"
119,Cognizant,"300 FRANK W. BURR BLVD., STE. 36, 6 FL. TEANECK, NEW JERSEY 07666"
120,Colgate-Palmolive,"300 PARK AVE NEW YORK, NEW YORK 10022"
121,Comcast,"ONE COMCAST CENTER PHILADELPHIA, PENNSYLVANIA 19103-2838"
