,index,Address
291,Linde plc,"FORGE, 43 CHURCH STREET WEST WOKING SURREY, UNITED KINGDOM GU216HT"
292,Live Nation Entertainment,"9348 CIVIC CENTER DRIVE BEVERLY HILLS, CALIFORNIA 90210"
293,LKQ Corporation,"500 WEST MADISON STREET SUITE 2800 CHICAGO, ILLINOIS 60661"
294,Lockheed Martin,"6801 ROCKLEDGE DR BETHESDA, MARYLAND 20817"
295,Loews Corporation,"667 MADISON AVE NEW YORK, NEW YORK 10065-8087"
296,Lowe's,"1000 LOWES BLVD. MOORESVILLE, NORTH CAROLINA 28117"
297,LyondellBasell,"1221 MCKINNEY ST SUITE 700 HOUSTON, TEXAS 77010"
298,M&T Bank,"C/O CORPORATE REPORTING ONE M&T PLAZA 5TH FLOOR BUFFALO, NEW YORK 14203"
299,Marathon Oil,"P O BOX 3128 HOUSTON, TEXAS 77253-3128"
300,Marathon Petroleum,"539 SOUTH MAIN STREET FINDLAY, OHIO 45840-3229"
301,MarketAxess,"55 HUDSON YARDS, 15TH FLOOR NEW YORK, NEW YORK 10001"
302,Marriott International,"7750 WISCONSIN AVENUE BETHESDA, MARYLAND 20814"
303,Marsh McLennan,"1166 AVENUE OF THE AMERICAS NEW YORK, NEW YORK 10036"
304,Martin Marietta Materials,"4123 PARKLAKE AVE RALEIGH, NORTH CAROLINA 27612"
305,Masco,"17450 COLLEGE PARKWAY LIVONIA, MICHIGAN 48152"
306,Mastercard,"2000 PURCHASE STREET PURCHASE, NEW YORK 10577"
307,Match Group,"8750 NORTH CENTRAL EXPRESSWAY SUITE 1400 DALLAS, TEXAS 75231"
308,McCormick & Company,"24 SCHILLING ROAD SUITE 1 HUNT VALLEY, MARYLAND 21031"
309,McDonald's,"110 NORTH CARPENTER STREET CHICAGO, ILLINOIS 60607"
310,McKesson,"6555 STATE HIGHWAY 161 IRVING, TEXAS 75039"
311,Medtronic,"20 ON HATCH, LOWER HATCH STREET DUBLIN, IRELAND 2"
312,Merck & Co.,"2000 GALLOPING HILL ROAD KENILWORTH, NEW JERSEY 07033"
313,Meta Platforms,"1601 WILLOW ROAD MENLO PARK, CALIFORNIA 94025"
314,MetLife,"200 PARK AVENUE NEW YORK, NEW YORK 10166"
315,Mettler Toledo,"1900 POLARIS PARKWAY COLUMBUS, OHIO 43240"
316,MGM Resorts,"3600 LAS VEGAS BLVD S LAS VEGAS, NEVADA 89109"
317,Microchip Technology,"2355 W CHANDLER BLVD CHANDLER, ARIZONA 85224-6199"
318,Micron Technology,"8000 S FEDERAL WAY PO BOX 6 BOISE, IDAHO 83716-9632"
319,Microsoft,"ONE MICROSOFT WAY REDMOND, WASHINGTON 98052-6399"
320,Mid-America Apartment Communities,"6815 POPLAR AVENUE SUITE 500 GERMANTOWN, TENNESSEE 38138"
321,Moderna,"200 TECHNOLOGY SQUARE CAMBRIDGE, MASSACHUSETTS 02139"
322,Mohawk Industries,"160 S INDUSTRIAL BLVD PO BOX 12069 CALHOUN, GEORGIA 30701"
323,Molina Healthcare,"200 OCEANGATE, SUITE 100 LONG BEACH, CALIFORNIA 90802"
324,Molson Coors Beverage Company,"P.O. BOX 4030 NH353 GOLDEN, COLORADO 80401"
325,Mondelez International,"905 WEST FULTON MARKET SUITE 200 CHICAGO, ILLINOIS 60607"
326,Monolithic Power Systems,"5808 LAKE WASHINGTON BLVD. NE KIRKLAND, WASHINGTON 98033"
327,Monster Beverage,"1 MONSTER WAY CORONA, CALIFORNIA 92879"
328,Moody's Corporation,"7 WORLD TRADE CENTER AT 250 GREENWICH STREET NEW YORK, NEW YORK 10007"
329,Morgan Stanley,"1585 BROADWAY NEW YORK, NEW YORK 10036"
330,Mosaic Company (The),"101 EAST KENNEDY BLVD. SUITE 2500 TAMPA, FLORIDA 33602"
331,Motorola Solutions,"500 W. MONROE ST. CHICAGO, ILLINOIS 60661"
332,MSCI,"7 WORLD TRADE CENTER 250 GREENWICH STREET, 49TH FLOOR NEW YORK, NEW YORK 10007"
333,"Nasdaq, Inc.","151 W. 42ND STREET NEW YORK, NEW YORK 10036"
334,NetApp,"3060 OLSEN DRIVE SAN JOSE, CALIFORNIA 95128"
335,Netflix,"121 ALBRIGHT WAY LOS GATOS, CALIFORNIA 95032"
336,Newell Brands,"6655 PEACHTREE DUNWOODY ROAD ATLANTA, GEORGIA 30328"
337,Newmont,"6900 E LAYTON AVE SUITE 700 DENVER, COLORADO 80237"
338,News Corp (Class A),"1211 AVENUE OF THE AMERICAS NEW YORK, NEW YORK 10036"
339,News Corp (Class B),"1211 AVENUE OF THE AMERICAS NEW YORK, NEW YORK 10036"
340,NextEra Energy,"700 UNIVERSE BLVD JUNO BEACH, FLORIDA 33408"
341,"Nike, Inc.","ONE BOWERMAN DR BEAVERTON, OREGON 97005-6453"
342,NiSource,"801 EAST 86TH AVE MERRILLVILLE, INDIANA 46410-6272"
343,Nordson Corporation,"28601 CLEMENS RD WESTLAKE, OHIO 44145"
344,Norfolk Southern Railway,"650 W PEACHTREE STREET NW ATLANTA, GEORGIA 30308"
345,Northern Trust,"50 S LASALLE ST CHICAGO, ILLINOIS 60603"
346,Northrop Grumman,"2980 FAIRVIEW PARK DRIVE C/O NORTHROP GRUMMAN CORP FALLS CHURCH, VIRGINIA 22042"
347,Norwegian Cruise Line Holdings,"7665 CORPORATE DRIVE MIAMI, FLORIDA 33126"
348,NRG Energy,"910 LOUISIANA STREET HOUSTON, TEXAS 77002"
349,Nucor,"1915 REXFORD RD CHARLOTTE, NORTH CAROLINA 28211"
350,Nvidia,"2788 SAN TOMAS EXPRESSWAY SANTA CLARA, CALIFORNIA 95051"
351,"NVR, Inc.","11700 PLAZA AMERICA DR. SUITE 500 RESTON, VIRGINIA 20190"
352,NXP Semiconductors,
353,O'Reilly Auto Parts,"233 S PATTERSON AVE SPRINGFIELD, MISSOURI 65802"
354,Occidental Petroleum,"5 GREENWAY PLAZA SUITE 110 HOUSTON, TEXAS 77046"
355,Old Dominion,"500 OLD DOMINION WAY THOMASVILLE, NORTH CAROLINA 27360"
356,Omnicom Group,"280 PARK AVENUE NEW YORK, NEW YORK 10017"
357,ON Semiconductor,"5701 NORTH PIMA ROAD SCOTTSDALE, ARIZONA 85250"
358,ONEOK,"100 WEST 5TH ST TULSA, OKLAHOMA 74103"
359,Oracle Corporation,"500 ORACLE PARKWAY MAIL STOP 5 OP 7 REDWOOD CITY, CALIFORNIA 94065"
360,Organon & Co.,"30 HUDSON STREET FL 33 JERSEY CITY, NEW JERSEY 07302"
361,Otis Worldwide,"ONE CARRIER PLACE FARMINGTON, CONNECTICUT 06032"
362,Paccar,"PACCAR BUILDING 777 106TH AVENUE NE BELLEVUE, WASHINGTON 98004"
363,Packaging Corporation of America,"1955 W FIELD CT LAKE FOREST, ILLINOIS 60045"
364,Paramount Global,"1515 BROADWAY NEW YORK, NEW YORK 10036"
365,Parker Hannifin,"6035 PARKLAND BOULEVARD CLEVELAND, OHIO 44124-4141"
366,Paychex,"911 PANORAMA TRAIL S ROCHESTER, NEW YORK 14625-0397"
367,Paycom,"7501 W. MEMORIAL ROAD OKLAHOMA CITY, OKLAHOMA 73142"
368,PayPal,"2211 NORTH FIRST STREET SAN JOSE, CALIFORNIA 95131"
369,Pentair,"REGAL HOUSE, 70 LONDON ROAD TWICKENHAM LONDON, UNITED KINGDOM TW13QS"
370,PepsiCo,"700 ANDERSON HILL RD PURCHASE, NEW YORK 10577"
371,PerkinElmer,"940 WINTER STREET WALTHAM, MASSACHUSETTS 02451"
372,Pfizer,"66 HUDSON BOULEVARD EAST NEW YORK, NEW YORK 10001-2192"
373,PG&E Corporation,"300 LAKESIDE DRIVE OAKLAND, CALIFORNIA 94612"
374,Philip Morris International,"677 WASHINGTON BLVD, STE. 1100 STAMFORD, CONNECTICUT 06901"
375,Phillips 66,"2331 CITYWEST BLVD. HOUSTON, TEXAS 77042"
376,Pinnacle West,"400 NORTH FIFTH STREET MS 8695 PHOENIX, ARIZONA 85004"
377,Pioneer Natural Resources,"777 HIDDEN RIDGE IRVING, TEXAS 75038"
378,PNC Financial Services,"THE TOWER AT PNC PLAZA 300 FIFTH AVENUE PITTSBURGH, PENNSYLVANIA 15222-2401"
379,Pool Corporation,"109 NORTHPARK BLVD 4TH FLOOR COVINGTON, LOUISIANA 70433-5001"
380,PPG Industries,"ONE PPG PL 40 EAST PITTSBURGH, PENNSYLVANIA 15272"
381,PPL Corporation,"TWO N NINTH ST ALLENTOWN, PENNSYLVANIA 18101-1179"
382,Principal Financial Group,"711 HIGH STREET DES MOINES, IOWA 50392"
383,Procter & Gamble,"ONE PROCTER & GAMBLE PLAZA CINCINNATI, OHIO 45202"
384,Progressive Corporation,"6300 WILSON MILLS RD MAYFIELD VILLAGE, OHIO 44143"
385,Prologis,"PIER 1 BAY 1 SAN FRANCISCO, CALIFORNIA 94111"
386,Prudential Financial,"751 BROAD ST NEWARK, NEW JERSEY 07102"
387,Public Service Enterprise Group,"CORPORATE ACCOUNTING SERVICES 80 PARK PLAZA, 9TH FLOOR NEWARK, NEW JERSEY 07102-4194"
388,PTC,"121 SEAPORT BOULEVARD BOSTON, MASSACHUSETTS 02210"
389,Public Storage,"701 WESTERN AVENUE GLENDALE, CALIFORNIA 91201-2349"
390,PulteGroup,"3350 PEACHTREE ROAD NORTHEAST SUITE 150 ATLANTA, GEORGIA 30326"
391,Qorvo,"7628 THORNDIKE ROAD GREENSBORO, NORTH CAROLINA 27409"
392,Quanta Services,"2727 NORTH LOOP WEST HOUSTON, TEXAS 77008-1044"
393,Qualcomm,"5775 MOREHOUSE DR SAN DIEGO, CALIFORNIA 92121"
394,Quest Diagnostics,"500 PLAZA DRIVE SECAUCUS, NEW JERSEY 07094"
395,Ralph Lauren Corporation,"650 MADISON AVENUE NEW YORK, NEW YORK 10022"
396,Raymond James,"880 CARILLON PKWY ST PETERSBURG, FLORIDA 33716"
397,Raytheon Technologies,"870 WINTER STREET WALTHAM, MASSACHUSETTS 02451"
398,Realty Income,"11995 EL CAMINO REAL SAN DIEGO, CALIFORNIA 92130"
399,Regency Centers,"ONE INDEPENDENT DRIVE SUITE 114 JACKSONVILLE, FLORIDA 32202"
400,Regeneron,"777 OLD SAW MILL RIVER ROAD TARRYTOWN, NEW YORK 10591"
401,Regions Financial Corporation,"1900 FIFTH AVENUE NORTH BIRMINGHAM, ALABAMA 35203"
402,Republic Services,"18500 N. ALLIED WAY PHOENIX, ARIZONA 85054"
403,ResMed,"9001 SPECTRUM CENTER BLVD. SAN DIEGO, CALIFORNIA 92123"
404,Robert Half,"2884 SAND HILL RD STE 200 MENLO PARK, CALIFORNIA 94025"
405,Rockwell Automation,"1201 SOUTH 2ND STREET MILWAUKEE, WISCONSIN 53204"
406,"Rollins, Inc.","2170 PIEDMONT RD NE ATLANTA, GEORGIA 30324"
407,Roper Technologies,"6901 PROFESSIONAL PKWY EAST SUITE 200 SARASOTA, FLORIDA 34240"
408,Ross Stores,"5130 HACIENDA DRIVE DUBLIN, CALIFORNIA 94568"
409,Royal Caribbean Group,"1050 CARIBBEAN WAY MIAMI, FLORIDA 33132"
410,S&P Global,"55 WATER STREET NEW YORK, NEW YORK 10041"
411,Salesforce,"SALESFORCE TOWER 415 MISSION STREET 3RD FL SAN FRANCISCO, CALIFORNIA 94105"
412,SBA Communications,"8051 CONGRESS AVENUE BOCA RATON, FLORIDA 33487"
413,Schlumberger,"5599 SAN FELIPE 17TH FLOOR HOUSTON, TEXAS 77056"
414,Seagate Technology,"38/39 FITZWILLIAM SQUARE DUBLIN 2, IRELAND D02 NX53"
415,Sealed Air,"2415 CASCADE POINTE BOULEVARD CHARLOTTE, NORTH CAROLINA 28208"
416,Sempra Energy,"488 8TH AVENUE SAN DIEGO, CALIFORNIA 92101"
417,ServiceNow,"2225 LAWSON LANE SANTA CLARA, CALIFORNIA 95054"
418,Sherwin-Williams,"101 PROSPECT AVE NW CLEVELAND, OHIO 44115"
419,Simon Property Group,"225 WEST WASHINGTON STREET INDIANAPOLIS, INDIANA 46204-3438"
420,Skyworks Solutions,"5260 CALIFORNIA AVENUE IRVINE, CALIFORNIA 92617"
421,J.M. Smucker Company (The),"ONE STRAWBERRY LANE ORRVILLE, OHIO 44667"
422,Snap-on,"2801 80TH STREET KENOSHA, WISCONSIN 53143"
423,SolarEdge,"1 HAMADA STREET HERZILIYA PITUACH, ISRAEL 4673335"
424,Southern Company,"30 IVAN ALLEN JR. BLVD., N.W. ATLANTA, GEORGIA 30308"
425,Southwest Airlines,"2702 LOVE FIELD DR P O BOX 36611 DALLAS, TEXAS 75235"
426,Stanley Black & Decker,"1000 STANLEY DR P O BOX 7000 NEW BRITAIN, CONNECTICUT 06053"
427,Starbucks,"P O BOX 34067 SEATTLE, WASHINGTON 98124-1067"
428,State Street Corporation,"ONE LINCOLN STREET BOSTON, MASSACHUSETTS 02111"
429,Steel Dynamics,"7575 W JEFFERSON BLVD FORT WAYNE, INDIANA 46804"
430,Steris,"70 SIR JOHN ROGERSON'S QUAY DUBLIN, IRELAND 2"
431,Stryker Corporation,"2825 AIRVIEW BLVD KALAMAZOO, MICHIGAN 49002"
432,Synchrony Financial,"777 LONG RIDGE ROAD STAMFORD, CONNECTICUT 06902-1250"
433,Synopsys,"690 E MIDDLEFIELD RD MOUNTAIN VIEW, CALIFORNIA 94043"
434,Sysco,"1390 ENCLAVE PKWY HOUSTON, TEXAS 77077"
435,T-Mobile US,"12920 SE 38TH STREET BELLEVUE, WASHINGTON 98006"
436,T. Rowe Price,"100 EAST PRATT STREET P.O. BOX 89000 BALTIMORE, MARYLAND 21289-0320"
437,Take-Two Interactive,"110 WEST 44TH STREET NEW YORK, NEW YORK 10036"
438,"Tapestry, Inc.","10 HUDSON YARDS NEW YORK, NEW YORK 10001"
439,Targa Resources,"TARGA RESOURCES PARTNERS LP 1000 LOUISIANA STREET, SUITE 4300 HOUSTON, TEXAS 77002"
440,Target Corporation,"1000 NICOLLET MALL MINNEAPOLIS, MINNESOTA 55403"
441,TE Connectivity,"MUHLENSTRASSE 26 SCHAFFHAUSEN, SWITZERLAND CH-8200"
442,Teledyne Technologies,"1049 CAMINO DOS RIOS THOUSAND OAKS, CALIFORNIA 91360"
443,Teleflex,"550 E SWEDESFORD RD SUITE 400 WAYNE, PENNSYLVANIA 19087"
444,Teradyne,"600 RIVERPARK DRIVE NORTH READING, MASSACHUSETTS 01864"
445,"Tesla, Inc.","3500 DEER CREEK RD PALO ALTO, CALIFORNIA 94304"
446,Texas Instruments,"P.O. BOX 660199 DALLAS, TEXAS 75266"
447,Textron,"40 WESTMINSTER ST PROVIDENCE, RHODE ISLAND 02903"
448,Thermo Fisher Scientific,"168 THIRD AVENUE WALTHAM, MASSACHUSETTS 02451"
449,TJX Companies,"770 COCHITUATE RD FRAMINGHAM, MASSACHUSETTS 01701"
450,Tractor Supply,"5401 VIRGINIA WAY BRENTWOOD, TENNESSEE 37027"
451,Trane Technologies,"170/175 LAKEVIEW DRIVE AIRSIDE BUSINESS PARK, SWORDS, CO. DUBLIN, IRELAND 00000"
452,TransDigm Group,"1301 EAST 9TH STREET SUITE 3000 CLEVELAND, OHIO 44114"
453,Travelers Companies (The),"385 WASHINGTON ST SAINT PAUL, MINNESOTA 55102"
454,Trimble Inc.,"10368 WESTMOOR DR WESTMINSTER, COLORADO 80021"
455,Truist,"214 NORTH TRYON STREET CHARLOTTE, NORTH CAROLINA 28202"
456,Tyler Technologies,"5101 TENNYSON PKWY PLANO, TEXAS 75024"
457,Tyson Foods,"2200 DON TYSON PARKWAY SPRINGDALE, ARKANSAS 72762-6999"
458,U.S. Bank,"U.S. BANCORP 800 NICOLLET MALL MINNEAPOLIS, MINNESOTA 55402-7020"
459,"UDR, Inc.","1745 SHEA CENTER DRIVE SUITE 200 HIGHLANDS RANCH, COLORADO 80129"
460,Ulta Beauty,"1000 REMINGTON BLVD SUITE 120 BOLINGBROOK, ILLINOIS 60440"
461,Union Pacific Corporation,"1400 DOUGLAS STREET STOP 0310 OMAHA, NEBRASKA 68179"
462,United Airlines Holdings,"E. ANNA HA - WHQLD 233 SOUTH WACKER DRIVE CHICAGO, ILLINOIS 60606"
463,United Parcel Service,"55 GLENLAKE PARKWAY NE ATLANTA, GEORGIA 30328"
464,United Rentals,"100 FIRST STAMFORD PLACE 7TH FLOOR STAMFORD, CONNECTICUT 06902"
465,UnitedHealth Group,"UNITEDHEALTH GROUP CENTER 9900 BREN ROAD EAST MINNEAPOLIS, MINNESOTA 55343"
466,Universal Health Services,"367 S GULPH RD KING OF PRUSSIA, PENNSYLVANIA 19406"
467,Valero Energy,"P.O. BOX 696000 SAN ANTONIO, TEXAS 78269-6000"
468,Ventas,"353 N. CLARK STREET SUITE 3300 CHICAGO, ILLINOIS 60654"
469,Verisign,"12061 BLUEMONT WAY ATTN: GENERAL COUNSEL RESTON, VIRGINIA 20190"
470,Verisk,"545 WASHINGTON BOULEVARD JERSEY CITY, NEW JERSEY 07310-1686"
471,Verizon,"1095 AVENUE OF THE AMERICAS NEW YORK, NEW YORK 10036"
472,Vertex Pharmaceuticals,"50 NORTHERN AVENUE BOSTON, MASSACHUSETTS 02210"
473,VF Corporation,"1551 WEWATTA STREET DENVER, COLORADO 80202"
474,Vici Properties,"535 MADISON AVENUE,  20TH FLOOR NEW YORK, NEW YORK 10022"
475,Visa Inc.,"P.O. BOX 8999 SAN FRANCISCO, CALIFORNIA 94128-8999"
476,Vulcan Materials Company,"1200 URBAN CENTER DRIVE BIRMINGHAM, ALABAMA 35242"
477,Wabtec,"30 ISABELLA STREET PITTSBURGH, PENNSYLVANIA 15212"
478,Walgreens Boots Alliance,"108 WILMOT ROAD DEERFIELD, ILLINOIS 60015"
479,Walmart,"702 SOUTHWEST 8TH ST BENTONVILLE, ARKANSAS 72716"
480,Warner Bros. Discovery,"230 PARK AVENUE SOUTH NEW YORK, NEW YORK 10003"
481,Waste Management,"800 CAPITOL STREET, STE 3000 HOUSTON, TEXAS 77002"
482,Waters Corporation,"34 MAPLE ST MILFORD, MASSACHUSETTS 01757"
483,WEC Energy Group,"231 W MICHIGAN ST P O BOX 1331 MILWAUKEE, WISCONSIN 53201"
484,Wells Fargo,"420 MONTGOMERY STREET SAN FRANCISCO, CALIFORNIA 94163"
485,Welltower,"4500 DORR STREET TOLEDO, OHIO 43615"
486,West Pharmaceutical Services,"530 HERMAN O. WEST DRIVE EXTON, PENNSYLVANIA 19341"
487,Western Digital,"5601 GREAT OAKS PARKWAY SAN JOSE, CALIFORNIA 95119"
488,WestRock,"1000 ABERNATHY ROAD NE ATLANTA, GEORGIA 30328"
489,Weyerhaeuser,"220 OCCIDENTAL AVENUE SOUTH SEATTLE, WASHINGTON 98104"
490,Whirlpool Corporation,"WHIRLPOOL CNTR 2000 M 63 C/O CORPORATE SECRETARY BENTON HARBOR, MICHIGAN 49022-2692"
491,Williams Companies,"ONE WILLIAMS CTR TULSA, OKLAHOMA 74172"
492,Willis Towers Watson,"C/O WILLIS GROUP LIMITED 51 LIME STREET LONDON ENGLAND, UNITED KINGDOM EC3M 7DQ"
493,W. W. Grainger,"100 GRAINGER PARKWAY LAKE FOREST, ILLINOIS 60045-5201"
494,Wynn Resorts,"3131 LAS VEGAS BOULEVARD SOUTH LAS VEGAS, NEVADA 89109"
495,Xcel Energy,"414 NICOLLET MALL MINNEAPOLIS, MINNESOTA 55401"
496,Xylem Inc.,"301 WATER STREET SE WASHINGTON, DISTRICT OF COLUMBIA 20003"
497,Yum! Brands,"1441 GARDINER LANE LOUISVILLE, KENTUCKY 40213"
498,Zebra Technologies,"3 OVERLOOK POINT LINCOLNSHIRE, ILLINOIS 60069"
499,Zimmer Biomet,"345 EAST MAIN STREET WARSAW, INDIANA 46580"
500,Zions Bancorporation,"ONE SOUTH MAIN STREET 11TH FLOOR SALT LAKE CITY, UTAH 84133"
501,Zoetis,"10 SYLVAN WAY PARSIPPANY, NEW JERSEY 07054"
